"","accessRights","adm1","adm2","associatedSequences","basisOfRecord","behavior","catalogNumber","class","classKey","cloc","collectionCode","collectionID","continent","coordinatePrecision","coordinateUncertaintyInMeters","country","datasetID","datasetKey","datasetName","dateIdentified","day","depth","depthAccuracy","disposition","dynamicProperties","earliestEpochOrLowestSeries","earliestPeriodOrLowestSystem","elevation","elevationAccuracy","endDayOfYear","establishmentMeans","eventDate","eventID","eventRemarks","eventTime","family","familyKey","formation","fullCountry","gbifID","genericName","genus","genusKey","geodeticDatum","geologicalContextID","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceRemarks","georeferenceSources","georeferenceVerificationStatus","higherClassification","higherGeography","highestBiostratigraphicZone","http...unknown.org.occurrenceDetails","http...unknown.org.organismID","identificationID","identificationQualifier","identificationRemarks","identificationVerificationStatus","identifiedBy","identifier","individualCount","informationWithheld","infraspecificEpithet","institutionCode","institutionID","island","islandGroup","ISO2","key","kingdom","kingdomKey","language","lastCrawled","lastInterpreted","lastParsed","lat","latestEpochOrHighestSeries","latestPeriodOrHighestSystem","license","lifeStage","locality","locationAccordingTo","locationID","locationRemarks","lon","lowestBiostratigraphicZone","modified","month","nomenclaturalCode","occurrenceID","occurrenceRemarks","occurrenceStatus","order","orderKey","organismID","otherCatalogNumbers","ownerInstitutionCode","phylum","phylumKey","preparations","previousIdentifications","protocol","publishingCountry","publishingOrgKey","recordedBy","recordNumber","references","reproductiveCondition","rights","rightsHolder","scientificName","sex","species","speciesKey","specificEpithet","startDayOfYear","taxonID","taxonKey","taxonRank","type","typeStatus","verbatimCoordinateSystem","verbatimElevation","verbatimEventDate","verbatimLocality","verbatimTaxonRank","vernacularName","year","downloadDate","id_no","binomial","presence","origin","seasonal","compiler","year.1","citation","source","dist_comm","island.1","kingdom.1","phylum.1","class.1","order_","family.1","rlcategory","shape_Leng","shape_Area","optional"
"541",NA,"Queensland","not applicable",NA,"MATERIAL_SAMPLE",NA,"G35032","Mammalia",359,"BUSHY CREEK BRIDGE, REX HIGHWAY, JULATTEN, Queensland, not applicable, Australia, OCEANIA","GeneticSamples",NA,"OCEANIA",0.01667,2000,"Australia",NA,"0debafd0-6c8a-11de-8225-b8a03c50a862",NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2002-07-27T00:00:00.000+0000",NA,NA,NA,"Macropodidae",9372,NA,"Australia","1257466300","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9b1e7201-0aa6-4028-bfbf-3de70da9cbaa",NA,NA,NA,"ANWC",NA,NA,NA,"AU",1257466300,"Animalia",1,NA,"2016-08-19T07:26:13.164+0000","2016-08-03T11:46:19.472+0000","2016-06-21T13:46:50.394+0000",-16.6167,NA,NA,NA,NA,"BUSHY CREEK BRIDGE, REX HIGHWAY, JULATTEN",NA,NA,NA,145.3333,NA,NA,7,NA,"9b1e7201-0aa6-4028-bfbf-3de70da9cbaa",NA,NA,"Diprotodontia",1452,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","602f0aa0-1f3e-11da-9ae9-b8a03c50a862",NA,NA,NA,NA,NA,NA,"Macropus agilis (Gould, 1841)",NA,"Macropus agilis",5219975,"agilis",NA,NA,5219975,"SPECIES",NA,NA,NA,NA,NA,NA,NA,"Agile Wallaby",2002,2016-08-25,40560,"Macropus agilis",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",200.26747468,99.6503361533,TRUE
"678",NA,"Queensland",NA,NA,"PRESERVED_SPECIMEN",NA,"JM15005","Mammalia",359,"-, Queensland, Australia","Mammals",NA,NA,0.009,1000,"Australia",NA,"a79c2b50-6c8a-11de-8226-b8a03c50a862",NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2001-07-26T00:00:00.000+0000",NA,NA,NA,"Macropodidae",9372,NA,"Australia","1066624086","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3c2d6a57-79b9-4ae3-8adc-b5e87c31f1dd",NA,NA,NA,"QM",NA,NA,NA,"AU",1066624086,"Animalia",1,NA,"2015-10-19T05:51:15.177+0000","2016-08-04T10:56:26.118+0000","2015-04-30T09:48:37.371+0000",-21.1,NA,NA,NA,NA,"-",NA,NA,NA,149.2,NA,NA,7,NA,"3c2d6a57-79b9-4ae3-8adc-b5e87c31f1dd",NA,NA,"Diprotodontia",1452,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","f9d3db7d-6ee9-4fbf-bd4c-e5d0f0bd26c6",NA,NA,NA,NA,NA,NA,"Macropus agilis (Gould, 1841)",NA,"Macropus agilis",5219975,"agilis",NA,NA,5219975,"SPECIES",NA,NA,NA,NA,NA,NA,NA,"Agile wallaby",2001,2016-08-25,40560,"Macropus agilis",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",200.26747468,99.6503361533,TRUE
"740",NA,"Northern Territory",NA,NA,"PRESERVED_SPECIMEN",NA,"M.35064","Mammalia",359,"Northern Territory, Australia","Mammalogy",NA,NA,0.001,NA,"Australia",NA,"dce8feb0-6c89-11de-8225-b8a03c50a862",NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2000-05-21T00:00:00.000+0000","urn:australianmuseum.net.au:Events:4016991",NA,NA,"Macropodidae",9372,NA,"Australia","1101215159","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"de0358ad-9394-4d5c-a2aa-2a289d984b2c",NA,NA,NA,"AM",NA,NA,NA,"AU",1101215159,"Animalia",1,NA,"2016-08-19T08:07:03.551+0000","2016-08-04T14:22:10.437+0000","2015-07-17T07:03:37.530+0000",-12.466,NA,NA,NA,NA,NA,NA,NA,"ecatalogue.LocCollectionEventLocal: ""Australia, Northern Territory, Cox Peninsula (12° 28' S, 130° 40' E) 21/05/2000 - 21/05/2000, Road kill, Field Collected - Terrestrial"";",130.666,NA,NA,5,NA,"de0358ad-9394-4d5c-a2aa-2a289d984b2c",NA,NA,"Diprotodontia",1452,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","770c30d2-c2a8-4bb2-8056-6167297cddae","Gilbert, Penny",NA,NA,NA,NA,NA,"Macropus agilis (Gould, 1841)",NA,"Macropus agilis",5219975,"agilis",NA,NA,5219975,"SPECIES",NA,NA,NA,NA,NA,NA,NA,"Agile Wallaby",2000,2016-08-25,40560,"Macropus agilis",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",200.26747468,99.6503361533,TRUE
"1075",NA,"Queensland","not applicable",NA,"MATERIAL_SAMPLE",NA,"G38134","Mammalia",359,"GUMLU, Queensland, not applicable, Australia, OCEANIA","GeneticSamples",NA,"OCEANIA",0.01667,2000,"Australia",NA,"0debafd0-6c8a-11de-8225-b8a03c50a862",NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1997-06-15T00:00:00.000+0000",NA,NA,NA,"Macropodidae",9372,NA,"Australia","1257469755","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"52fc4299-f44d-4a76-b940-4ed6c0c1c943",NA,NA,NA,"ANWC",NA,NA,NA,"AU",1257469755,"Animalia",1,NA,"2016-08-19T07:26:14.238+0000","2016-08-03T11:46:21.058+0000","2016-06-21T13:47:00.895+0000",-19.8667,NA,NA,NA,NA,"GUMLU",NA,NA,NA,147.6833,NA,NA,6,NA,"52fc4299-f44d-4a76-b940-4ed6c0c1c943",NA,NA,"Diprotodontia",1452,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","602f0aa0-1f3e-11da-9ae9-b8a03c50a862",NA,NA,NA,NA,NA,NA,"Macropus agilis (Gould, 1841)",NA,"Macropus agilis",5219975,"agilis",NA,NA,5219975,"SPECIES",NA,NA,NA,NA,NA,NA,NA,"Agile Wallaby",1997,2016-08-25,40560,"Macropus agilis",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",200.26747468,99.6503361533,TRUE
"1078",NA,"Queensland","not applicable",NA,"MATERIAL_SAMPLE",NA,"G38088","Mammalia",359,"MOUNT LOUISA, Queensland, not applicable, Australia, OCEANIA","GeneticSamples",NA,"OCEANIA",0.01667,2000,"Australia",NA,"0debafd0-6c8a-11de-8225-b8a03c50a862",NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1997-06-18T00:00:00.000+0000",NA,NA,NA,"Macropodidae",9372,NA,"Australia","1257469701","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14abb164-5b8c-410c-8b4f-8ad1d8cb6ff9",NA,NA,NA,"ANWC",NA,NA,NA,"AU",1257469701,"Animalia",1,NA,"2016-08-19T07:26:14.221+0000","2016-08-03T11:46:21.215+0000","2016-06-21T13:47:00.846+0000",-19.2833,NA,NA,NA,NA,"MOUNT LOUISA",NA,NA,NA,146.7333,NA,NA,6,NA,"14abb164-5b8c-410c-8b4f-8ad1d8cb6ff9",NA,NA,"Diprotodontia",1452,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","602f0aa0-1f3e-11da-9ae9-b8a03c50a862",NA,NA,NA,NA,NA,NA,"Macropus agilis (Gould, 1841)",NA,"Macropus agilis",5219975,"agilis",NA,NA,5219975,"SPECIES",NA,NA,NA,NA,NA,NA,NA,"Agile Wallaby",1997,2016-08-25,40560,"Macropus agilis",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",200.26747468,99.6503361533,TRUE
"1165",NA,"Queensland",NA,NA,"PRESERVED_SPECIMEN",NA,"JM12326","Mammalia",359,"-, Queensland, Australia","Mammals",NA,NA,0.0045,500,"Australia",NA,"a79c2b50-6c8a-11de-8226-b8a03c50a862",NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1996-09-13T00:00:00.000+0000",NA,NA,NA,"Macropodidae",9372,NA,"Australia","1066621210","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"843e2efd-aef4-4475-b2c2-b78a11ee2784",NA,NA,NA,"QM",NA,NA,NA,"AU",1066621210,"Animalia",1,NA,"2015-10-19T05:51:14.714+0000","2016-08-04T10:55:56.325+0000","2015-04-30T09:48:35.127+0000",-12.56472,NA,NA,NA,NA,"-",NA,NA,NA,141.83306,NA,NA,9,NA,"843e2efd-aef4-4475-b2c2-b78a11ee2784",NA,NA,"Diprotodontia",1452,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","f9d3db7d-6ee9-4fbf-bd4c-e5d0f0bd26c6",NA,NA,NA,NA,NA,NA,"Macropus agilis (Gould, 1841)",NA,"Macropus agilis",5219975,"agilis",NA,NA,5219975,"SPECIES",NA,NA,NA,NA,NA,NA,NA,"Agile wallaby",1996,2016-08-25,40560,"Macropus agilis",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",200.26747468,99.6503361533,TRUE
"1183",NA,"Nt",NA,NA,"PRESERVED_SPECIMEN",NA,"M23314","Mammalia",359,"Tanumbirini, Nt, Australia","Mammalogy",NA,NA,0.001,NA,"Australia",NA,"fa375330-6c8a-11de-8226-b8a03c50a862",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1996-01-01T00:00:00.000+0000",NA,NA,NA,"Macropodidae",9372,NA,"Australia","500878585","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stemmer",NA,NA,NA,NA,"SAMA",NA,NA,NA,"AU",500878585,"Animalia",1,NA,"2013-09-07T07:22:26.000+0000","2016-08-04T15:41:08.749+0000",NA,-16.55,NA,NA,NA,NA,"Tanumbirini",NA,NA,NA,134.716,NA,NA,NA,NA,NA,NA,NA,"Diprotodontia",1452,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","4d0539cd-a2e0-4a2c-8b7d-ec6718eef764","Staples C. & D.",NA,NA,NA,NA,NA,"Macropus agilis (Gould, 1841)",NA,"Macropus agilis",5219975,"agilis",NA,NA,5219975,"SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,1996,2016-08-25,40560,"Macropus agilis",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",200.26747468,99.6503361533,TRUE
"1297",NA,"Queensland","not applicable",NA,"MATERIAL_SAMPLE",NA,"G34650","Mammalia",359,"SHOALWATER BAY ARMY TRAINING RESERVE, N OF ROCKHAMPTON, Queensland, not applicable, Australia, OCEANIA","GeneticSamples",NA,"OCEANIA",0.00139,2000,"Australia",NA,"0debafd0-6c8a-11de-8225-b8a03c50a862",NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1992-02-16T00:00:00.000+0000",NA,NA,NA,"Macropodidae",9372,NA,"Australia","1257465919","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ff0e0400-6bf6-4d67-9aab-76db598bbddd",NA,NA,NA,"ANWC",NA,NA,NA,"AU",1257465919,"Animalia",1,NA,"2016-08-19T07:26:13.193+0000","2016-08-03T11:46:22.477+0000","2016-06-21T13:46:49.558+0000",-22.8236,NA,NA,NA,NA,"SHOALWATER BAY ARMY TRAINING RESERVE, N OF ROCKHAMPTON",NA,NA,"THE GLEN",150.3389,NA,NA,2,NA,"ff0e0400-6bf6-4d67-9aab-76db598bbddd",NA,NA,"Diprotodontia",1452,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","602f0aa0-1f3e-11da-9ae9-b8a03c50a862",NA,NA,NA,NA,NA,NA,"Macropus agilis (Gould, 1841)",NA,"Macropus agilis",5219975,"agilis",NA,NA,5219975,"SPECIES",NA,NA,NA,NA,NA,NA,NA,"Agile Wallaby",1992,2016-08-25,40560,"Macropus agilis",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",200.26747468,99.6503361533,TRUE
"1308",NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,"M.28163","Mammalia",359,"Papua New Guinea","Mammalogy",NA,NA,0.001,NA,"Papua New Guinea",NA,"dce8feb0-6c89-11de-8225-b8a03c50a862",NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1992-08-22T00:00:00.000+0000","urn:australianmuseum.net.au:Events:4014816",NA,NA,"Macropodidae",9372,NA,"Papua New Guinea","1101207456","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"d99c789f-ec6a-4cea-a23e-573c98e962c1",NA,NA,NA,"AM",NA,NA,NA,"PG",1101207456,"Animalia",1,NA,"2016-08-19T08:07:02.270+0000","2016-08-04T14:24:39.144+0000","2015-07-17T07:02:54.773+0000",-9.416,NA,NA,NA,NA,NA,NA,NA,"ecatalogue.LocCollectionEventLocal: ""Papua New Guinea, Milne Bay Prov.Fergusson Is.Kalo-Kalo (9<U+FFFD> 25' S, 150<U+FFFD> 26' E) 22/08/1992 - 22/08/1992, Field Collected - Terrestrial"";",150.433,NA,NA,8,NA,"d99c789f-ec6a-4cea-a23e-573c98e962c1",NA,NA,"Diprotodontia",1452,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","770c30d2-c2a8-4bb2-8056-6167297cddae","German, Pavel",NA,NA,NA,NA,NA,"Macropus agilis (Gould, 1841)",NA,"Macropus agilis",5219975,"agilis",NA,NA,5219975,"SPECIES",NA,NA,NA,NA,NA,NA,NA,"Agile Wallaby",1992,2016-08-25,40560,"Macropus agilis",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,"Fergusson","ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",1.9697745019,0.109406641564,TRUE
"1313",NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,"M.28165","Mammalia",359,"Papua New Guinea","Mammalogy",NA,NA,0.001,NA,"Papua New Guinea",NA,"dce8feb0-6c89-11de-8225-b8a03c50a862",NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1992-09-09T00:00:00.000+0000","urn:australianmuseum.net.au:Events:4014931",NA,NA,"Macropodidae",9372,NA,"Papua New Guinea","1101207473","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69dc9a79-f0db-405a-9764-f13689f72595",NA,NA,NA,"AM",NA,NA,NA,"PG",1101207473,"Animalia",1,NA,"2016-08-19T08:07:02.271+0000","2016-08-04T14:24:39.977+0000","2015-07-17T07:02:54.834+0000",-9.516,NA,NA,NA,NA,NA,NA,NA,"ecatalogue.LocCollectionEventLocal: ""Papua New Guinea, Miline Bay Prov.Lamalele N I (Hot springs) (9° 31' S, 150° 32' E) 09/09/1992 - 09/09/1992, Field Collected - Terrestrial"";",150.533,NA,NA,9,NA,"69dc9a79-f0db-405a-9764-f13689f72595",NA,NA,"Diprotodontia",1452,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","770c30d2-c2a8-4bb2-8056-6167297cddae","German, Pavel",NA,NA,NA,NA,NA,"Macropus agilis (Gould, 1841)",NA,"Macropus agilis",5219975,"agilis",NA,NA,5219975,"SPECIES",NA,NA,NA,NA,NA,NA,NA,"Agile Wallaby",1992,2016-08-25,40560,"Macropus agilis",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,"Fergusson","ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",1.9697745019,0.109406641564,TRUE
"1318",NA,"Queensland",NA,NA,"PRESERVED_SPECIMEN",NA,"JM8587","Mammalia",359,"-, Queensland, Australia","Mammals",NA,NA,NA,NA,"Australia",NA,"a79c2b50-6c8a-11de-8226-b8a03c50a862",NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1991-02-10T00:00:00.000+0000",NA,NA,NA,"Macropodidae",9372,NA,"Australia","1066631238","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dc3fce24-0690-4b0a-8238-ec4f303287a3",NA,NA,NA,"QM",NA,NA,NA,"AU",1066631238,"Animalia",1,NA,"2015-10-19T05:51:16.951+0000","2016-08-04T10:56:25.080+0000","2015-04-30T09:48:43.055+0000",-20.65,NA,NA,NA,NA,"-",NA,NA,NA,148.71667,NA,NA,2,NA,"dc3fce24-0690-4b0a-8238-ec4f303287a3",NA,NA,"Diprotodontia",1452,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","f9d3db7d-6ee9-4fbf-bd4c-e5d0f0bd26c6",NA,NA,NA,NA,NA,NA,"Macropus agilis (Gould, 1841)",NA,"Macropus agilis",5219975,"agilis",NA,NA,5219975,"SPECIES",NA,NA,NA,NA,NA,NA,NA,"Agile wallaby",1991,2016-08-25,40560,"Macropus agilis",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",200.26747468,99.6503361533,TRUE
