"","accessRights","adm1","adm2","associatedReferences","associatedSequences","basisOfRecord","bibliographicCitation","catalogNumber","class","classKey","cloc","collectionCode","collectionID","continent","coordinatePrecision","coordinateUncertaintyInMeters","country","datasetID","datasetKey","datasetName","dateIdentified","day","depth","depthAccuracy","disposition","dynamicProperties","elevation","elevationAccuracy","endDayOfYear","establishmentMeans","eventDate","eventID","eventRemarks","eventTime","family","familyKey","fieldNumber","fullCountry","gbifID","genericName","genus","genusKey","geodeticDatum","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceRemarks","georeferenceSources","georeferenceVerificationStatus","higherClassification","higherGeography","http...unknown.org.occurrenceDetails","http...unknown.org.organismID","identificationID","identificationQualifier","identificationRemarks","identificationVerificationStatus","identifiedBy","identifier","individualCount","institutionCode","institutionID","islandGroup","ISO2","key","kingdom","kingdomKey","language","lastCrawled","lastInterpreted","lastParsed","lat","license","lifeStage","locality","locationAccordingTo","locationRemarks","lon","modified","month","nomenclaturalCode","occurrenceID","occurrenceRemarks","occurrenceStatus","order","orderKey","organismID","otherCatalogNumbers","ownerInstitutionCode","phylum","phylumKey","preparations","previousIdentifications","protocol","publishingCountry","publishingOrgKey","recordedBy","recordNumber","references","rights","rightsHolder","scientificName","sex","species","speciesKey","specificEpithet","startDayOfYear","taxonID","taxonKey","taxonRank","taxonRemarks","type","verbatimCoordinateSystem","verbatimEventDate","verbatimLocality","verbatimTaxonRank","vernacularName","year","downloadDate","id_no","binomial","presence","origin","seasonal","compiler","year.1","citation","source","dist_comm","island","kingdom.1","phylum.1","class.1","order_","family.1","rlcategory","shape_Leng","shape_Area","optional"
"169",NA,"Queensland",NA,NA,NA,"PRESERVED_SPECIMEN",NA,"M.45995.001","Mammalia",359,"Queensland, Australia","Mammalogy",NA,NA,1e-05,100,"Australia",NA,"dce8feb0-6c89-11de-8225-b8a03c50a862",NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,"2013-10-16T00:00:00.000+0000","urn:australianmuseum.net.au:Events:1180070",NA,NA,"Macropodidae",9372,NA,"Australia","1101228151","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"61c7cd71-efc8-4bb8-aefc-2450b862c5a8",NA,"AM",NA,NA,"AU",1101228151,"Animalia",1,NA,"2016-08-19T08:07:05.840+0000","2016-08-04T14:22:55.467+0000","2015-07-17T07:04:49.404+0000",-25.71277,NA,NA,NA,NA,"ecatalogue.LocCollectionEventLocal: ""Australia, Queensland, Landsborough Highway, 8.8 km N of Augathella (25° 42' 46"" S, 146° 35' 30"" E) 16/10/2013 - 16/10/2013, Sadlier, Dr Ross Allen - Australian Museum - Herpetology(Collector), Beatson, Ms Cecilie A - Australian Museum - Herpetology(Colle"";",146.59166,NA,10,NA,"61c7cd71-efc8-4bb8-aefc-2450b862c5a8",NA,NA,"Diprotodontia",1452,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","770c30d2-c2a8-4bb2-8056-6167297cddae","Sadlier, Dr Ross Allen - Australian Museum - Herpetology",NA,NA,NA,NA,"Macropus dorsalis (Gray, 1837)",NA,"Macropus dorsalis",5219980,"dorsalis",NA,NA,5219980,"SPECIES",NA,NA,NA,NA,NA,NA,"Black-striped Wallaby",2013,2016-08-25,40562,"Macropus dorsalis",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",64.9603069601,51.0669088217,TRUE
"171",NA,"Queensland",NA,NA,NA,"PRESERVED_SPECIMEN",NA,"M.45997.003","Mammalia",359,"Queensland, Australia","Mammalogy",NA,NA,1e-05,100,"Australia",NA,"dce8feb0-6c89-11de-8225-b8a03c50a862",NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,"2013-10-16T00:00:00.000+0000","urn:australianmuseum.net.au:Events:1180072",NA,NA,"Macropodidae",9372,NA,"Australia","1253402344","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"b2f2a145-6584-47ca-87b4-11a3902adffd",NA,"AM",NA,NA,"AU",1253402344,"Animalia",1,NA,"2016-08-19T08:07:05.846+0000","2016-08-04T14:22:57.612+0000","2016-03-12T00:31:41.994+0000",-26.04305,NA,NA,NA,NA,"ecatalogue.LocCollectionEventLocal: ""Australia, Queensland, Mitchell Highway, 38.7 km SW of Augathella (26° 02' 35"" S, 146° 25' 53"" E) 16/10/2013 - 16/10/2013, Sadlier, Dr. Ross Allen - Australian Museum - Herpetology(Collector), Beatson, Ms Cecilie A - Australian Museum - Herpetology(Collec"";",146.43138,NA,10,NA,"b2f2a145-6584-47ca-87b4-11a3902adffd",NA,NA,"Diprotodontia",1452,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","770c30d2-c2a8-4bb2-8056-6167297cddae",NA,NA,NA,NA,NA,"Macropus dorsalis (Gray, 1837)",NA,"Macropus dorsalis",5219980,"dorsalis",NA,NA,5219980,"SPECIES",NA,NA,NA,NA,NA,NA,"Black-striped Wallaby",2013,2016-08-25,40562,"Macropus dorsalis",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",64.9603069601,51.0669088217,TRUE
"861",NA,"New South Wales",NA,NA,NA,"PRESERVED_SPECIMEN",NA,"M.46612.003","Mammalia",359,"New South Wales, Australia","Mammalogy",NA,NA,1e-05,1000,"Australia",NA,"dce8feb0-6c89-11de-8225-b8a03c50a862",NA,"2014-06-01T00:00:00.000+0000",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2005-01-01T00:00:00.000+0000","urn:australianmuseum.net.au:Events:1186609",NA,NA,"Macropodidae",9372,NA,"Australia","1270037357","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"e9f03558-729e-48a5-acbb-33a80b8d0571",NA,"AM",NA,NA,"AU",1270037357,"Animalia",1,NA,"2016-08-19T08:07:06.004+0000","2016-08-04T14:23:03.522+0000","2016-06-03T13:06:31.304+0000",-28.86352,NA,NA,NA,NA,"ecatalogue.LocCollectionEventLocal: ""Australia, New South Wales, Mummulgum, 34km W of Casino, Bruxner Highway (28° 51' 49"" S, 152° 47' 04"" E) 2005 - 2005, Ulyatt, SUSANNE - WIRES Northern Rivers(Collector and presenter), Found dead on the road, Accession""; ecatalogue.SqsCityTown: ""Mummulgum"";",152.78445,NA,NA,NA,"e9f03558-729e-48a5-acbb-33a80b8d0571",NA,NA,"Diprotodontia",1452,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","770c30d2-c2a8-4bb2-8056-6167297cddae",NA,NA,NA,NA,NA,"Macropus dorsalis (Gray, 1837)",NA,"Macropus dorsalis",5219980,"dorsalis",NA,NA,5219980,"SPECIES",NA,NA,NA,NA,NA,NA,"Black-striped Wallaby",2005,2016-08-25,40562,"Macropus dorsalis",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",64.9603069601,51.0669088217,TRUE
"926",NA,"Queensland",NA,NA,NA,"PRESERVED_SPECIMEN",NA,"JM14555","Mammalia",359,"-, Queensland, Australia","Mammals",NA,NA,0.009,1000,"Australia",NA,"a79c2b50-6c8a-11de-8226-b8a03c50a862",NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,"2001-03-19T00:00:00.000+0000",NA,NA,NA,"Macropodidae",9372,NA,"Australia","1066623616","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0da4393d-8812-417b-b8dc-bc13c611d45f",NA,"QM",NA,NA,"AU",1066623616,"Animalia",1,NA,"2015-10-19T05:51:15.103+0000","2016-08-04T10:56:34.311+0000","2015-04-30T09:48:37.010+0000",-23.36667,NA,NA,"-",NA,NA,150.53333,NA,3,NA,"0da4393d-8812-417b-b8dc-bc13c611d45f",NA,NA,"Diprotodontia",1452,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","f9d3db7d-6ee9-4fbf-bd4c-e5d0f0bd26c6",NA,NA,NA,NA,NA,"Macropus dorsalis (Gray, 1837)",NA,"Macropus dorsalis",5219980,"dorsalis",NA,NA,5219980,"SPECIES",NA,NA,NA,NA,NA,NA,"Black-striped wallaby",2001,2016-08-25,40562,"Macropus dorsalis",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",64.9603069601,51.0669088217,TRUE
"942",NA,"Queensland",NA,NA,NA,"PRESERVED_SPECIMEN",NA,"JM12666","Mammalia",359,"-, Queensland, Australia","Mammals",NA,NA,0.0045,500,"Australia",NA,"a79c2b50-6c8a-11de-8226-b8a03c50a862",NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,"1999-01-27T00:00:00.000+0000",NA,NA,NA,"Macropodidae",9372,NA,"Australia","1066621586","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a1b08ff7-f718-41ef-84c4-17e403127f90",NA,"QM",NA,NA,"AU",1066621586,"Animalia",1,NA,"2015-10-19T05:51:14.767+0000","2016-08-04T10:56:42.050+0000","2015-04-30T09:48:35.366+0000",-25.56667,NA,NA,"-",NA,NA,151.7,NA,1,NA,"a1b08ff7-f718-41ef-84c4-17e403127f90",NA,NA,"Diprotodontia",1452,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","f9d3db7d-6ee9-4fbf-bd4c-e5d0f0bd26c6",NA,NA,NA,NA,NA,"Macropus dorsalis (Gray, 1837)",NA,"Macropus dorsalis",5219980,"dorsalis",NA,NA,5219980,"SPECIES",NA,NA,NA,NA,NA,NA,"Black-striped wallaby",1999,2016-08-25,40562,"Macropus dorsalis",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",64.9603069601,51.0669088217,TRUE
"943",NA,"Queensland",NA,NA,NA,"PRESERVED_SPECIMEN",NA,"JM12719","Mammalia",359,"-, Queensland, Australia","Mammals",NA,NA,0.0045,500,"Australia",NA,"a79c2b50-6c8a-11de-8226-b8a03c50a862",NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,"1999-03-04T00:00:00.000+0000",NA,NA,NA,"Macropodidae",9372,NA,"Australia","1066621584","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3ce6eeee-cf07-4a67-92e2-f5221fc7f76f",NA,"QM",NA,NA,"AU",1066621584,"Animalia",1,NA,"2015-10-19T05:51:14.776+0000","2016-08-04T10:56:30.675+0000","2015-04-30T09:48:35.366+0000",-22.915,NA,NA,"-",NA,NA,149.82917,NA,3,NA,"3ce6eeee-cf07-4a67-92e2-f5221fc7f76f",NA,NA,"Diprotodontia",1452,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","f9d3db7d-6ee9-4fbf-bd4c-e5d0f0bd26c6",NA,NA,NA,NA,NA,"Macropus dorsalis (Gray, 1837)",NA,"Macropus dorsalis",5219980,"dorsalis",NA,NA,5219980,"SPECIES",NA,NA,NA,NA,NA,NA,"Black-striped wallaby",1999,2016-08-25,40562,"Macropus dorsalis",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",64.9603069601,51.0669088217,TRUE
"944",NA,"Queensland",NA,NA,NA,"PRESERVED_SPECIMEN",NA,"JM13131","Mammalia",359,"-, Queensland, Australia","Mammals",NA,NA,0.00045,50,"Australia",NA,"a79c2b50-6c8a-11de-8226-b8a03c50a862",NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,"1999-04-08T00:00:00.000+0000",NA,NA,NA,"Macropodidae",9372,NA,"Australia","1066622068","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8dbf9e96-2f0a-4efb-bd3b-aa11185d199d",NA,"QM",NA,NA,"AU",1066622068,"Animalia",1,NA,"2015-10-19T05:51:14.840+0000","2016-08-04T10:56:56.660+0000","2015-04-30T09:48:35.746+0000",-27.54972,NA,NA,"-",NA,NA,152.87444,NA,4,NA,"8dbf9e96-2f0a-4efb-bd3b-aa11185d199d",NA,NA,"Diprotodontia",1452,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","f9d3db7d-6ee9-4fbf-bd4c-e5d0f0bd26c6",NA,NA,NA,NA,NA,"Macropus dorsalis (Gray, 1837)",NA,"Macropus dorsalis",5219980,"dorsalis",NA,NA,5219980,"SPECIES",NA,NA,NA,NA,NA,NA,"Black-striped wallaby",1999,2016-08-25,40562,"Macropus dorsalis",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",64.9603069601,51.0669088217,TRUE
"947",NA,"Queensland",NA,NA,NA,"PRESERVED_SPECIMEN",NA,"JM11083","Mammalia",359,"-, Queensland, Australia","Mammals",NA,NA,0.0045,500,"Australia",NA,"a79c2b50-6c8a-11de-8226-b8a03c50a862",NA,NA,27,NA,NA,NA,NA,320,NA,NA,NA,"1999-09-27T00:00:00.000+0000",NA,NA,NA,"Macropodidae",9372,NA,"Australia","1066620195","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"04332a2f-930e-4895-aad2-d29639dfedcd",NA,"QM",NA,NA,"AU",1066620195,"Animalia",1,NA,"2015-10-19T05:51:14.538+0000","2016-08-04T10:56:32.991+0000","2015-04-30T09:48:34.514+0000",-23.45,NA,NA,"-",NA,NA,150.46667,NA,9,NA,"04332a2f-930e-4895-aad2-d29639dfedcd",NA,NA,"Diprotodontia",1452,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","f9d3db7d-6ee9-4fbf-bd4c-e5d0f0bd26c6",NA,NA,NA,NA,NA,"Macropus dorsalis (Gray, 1837)",NA,"Macropus dorsalis",5219980,"dorsalis",NA,NA,5219980,"SPECIES",NA,NA,NA,NA,NA,NA,"Black-striped wallaby",1999,2016-08-25,40562,"Macropus dorsalis",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",64.9603069601,51.0669088217,TRUE
"950",NA,"Queensland",NA,NA,NA,"PRESERVED_SPECIMEN",NA,"JM13535","Mammalia",359,"-, Queensland, Australia","Mammals",NA,NA,0.0045,500,"Australia",NA,"a79c2b50-6c8a-11de-8226-b8a03c50a862",NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,"1999-10-05T00:00:00.000+0000",NA,NA,NA,"Macropodidae",9372,NA,"Australia","1066622540","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9a0943d5-0bbe-41c1-bb25-c53a54bd5bba",NA,"QM",NA,NA,"AU",1066622540,"Animalia",1,NA,"2015-10-19T05:51:14.904+0000","2016-08-04T10:56:28.122+0000","2015-04-30T09:48:36.087+0000",-21.745,NA,NA,"-",NA,NA,148.83889,NA,10,NA,"9a0943d5-0bbe-41c1-bb25-c53a54bd5bba",NA,NA,"Diprotodontia",1452,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","f9d3db7d-6ee9-4fbf-bd4c-e5d0f0bd26c6",NA,NA,NA,NA,NA,"Macropus dorsalis (Gray, 1837)",NA,"Macropus dorsalis",5219980,"dorsalis",NA,NA,5219980,"SPECIES",NA,NA,NA,NA,NA,NA,"Black-striped wallaby",1999,2016-08-25,40562,"Macropus dorsalis",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",64.9603069601,51.0669088217,TRUE
"964",NA,"Queensland",NA,NA,NA,"PRESERVED_SPECIMEN",NA,"JM12134","Mammalia",359,"-, Queensland, Australia","Mammals",NA,NA,0.0045,500,"Australia",NA,"a79c2b50-6c8a-11de-8226-b8a03c50a862",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"1997-01-01T00:00:00.000+0000",NA,NA,NA,"Macropodidae",9372,NA,"Australia","1066621027","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ac9a49ff-9c0f-4250-abae-9ce9930ae480",NA,"QM",NA,NA,"AU",1066621027,"Animalia",1,NA,"2015-10-19T05:51:14.685+0000","2016-08-04T10:56:42.570+0000","2015-04-30T09:48:35.002+0000",-25.64056,NA,NA,"-",NA,NA,152.33028,NA,1,NA,"ac9a49ff-9c0f-4250-abae-9ce9930ae480",NA,NA,"Diprotodontia",1452,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","f9d3db7d-6ee9-4fbf-bd4c-e5d0f0bd26c6","urn:qm.qld.gov.au:collector:5780",NA,NA,NA,NA,"Macropus dorsalis (Gray, 1837)",NA,"Macropus dorsalis",5219980,"dorsalis",NA,NA,5219980,"SPECIES",NA,NA,NA,NA,NA,NA,"Black-striped wallaby",1997,2016-08-25,40562,"Macropus dorsalis",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",64.9603069601,51.0669088217,TRUE
"968",NA,"Queensland",NA,NA,NA,"PRESERVED_SPECIMEN",NA,"JM11629","Mammalia",359,"-, Queensland, Australia","Mammals",NA,NA,0.01667,1000,"Australia",NA,"a79c2b50-6c8a-11de-8226-b8a03c50a862",NA,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,"1997-05-29T00:00:00.000+0000",NA,NA,NA,"Macropodidae",9372,NA,"Australia","1066620687","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c34dc1a1-25a7-49d9-9f94-7222fbf88258",NA,"QM",NA,NA,"AU",1066620687,"Animalia",1,NA,"2015-10-19T05:51:14.624+0000","2016-08-04T10:56:43.925+0000","2015-04-30T09:48:34.809+0000",-26.0485438322061,NA,NA,"-",NA,NA,152.634119632382,NA,5,NA,"c34dc1a1-25a7-49d9-9f94-7222fbf88258",NA,NA,"Diprotodontia",1452,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","f9d3db7d-6ee9-4fbf-bd4c-e5d0f0bd26c6",NA,NA,NA,NA,NA,"Macropus dorsalis (Gray, 1837)",NA,"Macropus dorsalis",5219980,"dorsalis",NA,NA,5219980,"SPECIES",NA,NA,NA,NA,NA,NA,"Black-striped wallaby",1997,2016-08-25,40562,"Macropus dorsalis",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",64.9603069601,51.0669088217,TRUE
"971",NA,"Queensland",NA,NA,NA,"PRESERVED_SPECIMEN",NA,"JM12115","Mammalia",359,"-, Queensland, Australia","Mammals",NA,NA,0.00045,50,"Australia",NA,"a79c2b50-6c8a-11de-8226-b8a03c50a862",NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,"1997-09-25T00:00:00.000+0000",NA,NA,NA,"Macropodidae",9372,NA,"Australia","1066620953","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"d73858f8-5d0c-4130-b7b3-ebbe539ae5b5",NA,"QM",NA,NA,"AU",1066620953,"Animalia",1,NA,"2015-10-19T05:51:14.683+0000","2016-08-04T10:56:39.070+0000","2015-04-30T09:48:34.968+0000",-25.21444,NA,NA,"-",NA,NA,148.97194,NA,9,NA,"d73858f8-5d0c-4130-b7b3-ebbe539ae5b5",NA,NA,"Diprotodontia",1452,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","f9d3db7d-6ee9-4fbf-bd4c-e5d0f0bd26c6",NA,NA,NA,NA,NA,"Macropus dorsalis (Gray, 1837)",NA,"Macropus dorsalis",5219980,"dorsalis",NA,NA,5219980,"SPECIES",NA,NA,NA,NA,NA,NA,"Black-striped wallaby",1997,2016-08-25,40562,"Macropus dorsalis",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",64.9603069601,51.0669088217,TRUE
