"","X","accessRights","adm1","adm2","associatedSequences","basisOfRecord","bibliographicCitation","catalogNumber","class","classKey","cloc","collectionCode","collectionID","continent","coordinateUncertaintyInMeters","country","datasetID","datasetKey","datasetName","dateIdentified","day","depth","depthAccuracy","disposition","dynamicProperties","earliestAgeOrLowestStage","earliestEpochOrLowestSeries","earliestEraOrLowestErathem","earliestPeriodOrLowestSystem","elevation","elevationAccuracy","endDayOfYear","establishmentMeans","eventDate","eventRemarks","eventTime","family","familyKey","fieldNumber","formation","fullCountry","gbifID","genericName","genus","genusKey","geodeticDatum","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceSources","georeferenceVerificationStatus","habitat","higherClassification","higherGeography","http...unknown.org.occurrenceDetails","http...unknown.org.organismID","identificationID","identificationQualifier","identificationRemarks","identificationVerificationStatus","identifiedBy","identifier","individualCount","informationWithheld","institutionCode","institutionID","ISO2","key","kingdom","kingdomKey","language","lastCrawled","lastInterpreted","lastParsed","lat","latestAgeOrHighestStage","latestEpochOrHighestSeries","latestEraOrHighestErathem","latestPeriodOrHighestSystem","license","lifeStage","locality","locationAccordingTo","locationRemarks","lon","modified","month","municipality","nomenclaturalCode","occurrenceID","occurrenceRemarks","occurrenceStatus","order","orderKey","organismID","otherCatalogNumbers","ownerInstitutionCode","phylum","phylumKey","preparations","previousIdentifications","protocol","publishingCountry","publishingOrgKey","recordedBy","recordNumber","references","rights","rightsHolder","samplingProtocol","scientificName","scientificNameID","sex","species","speciesKey","specificEpithet","startDayOfYear","taxonID","taxonKey","taxonRank","taxonRemarks","type","verbatimCoordinateSystem","verbatimElevation","verbatimEventDate","verbatimLocality","vernacularName","year","downloadDate","id_no","binomial","presence","origin","seasonal","compiler","year.1","citation","source","dist_comm","island","kingdom.1","phylum.1","class.1","order_","family.1","rlcategory","shape_Leng","shape_Area","optional"
"14",14,"http://vertnet.org/resources/norms.html","South Dakota","Todd County",NA,"PRESERVED_SPECIMEN",NA,"12305","Mammalia",359,"Junction of BIA 7 and US 18, South Dakota, Todd County, United States, NORTH_AMERICA","Mammal specimens",NA,"NORTH_AMERICA",50,"United States",NA,"5f3463d2-51b6-4a8a-b252-9bab4388934e",NA,"2009-03-05T00:00:00.000+0000",5,NA,NA,NA,"sex=male ; weight=1265 g; reproductive data=Testes: 16x10 mm ; verbatim preservation date=24 March 2011",NA,NA,NA,NA,826,0,64,NA,"2009-03-05T00:00:00.000+0000",NA,NA,"Mustelidae",5307,NA,NA,"United States",1145096740,"Mustela","Mustela",2433922,"WGS84","United States Fish and Wildlife Service","2009-03-05 00:00:00.0","BioGeoMancer","GPS","verified by collector",NA,"Animalia; Chordata; Mammalia; Carnivora; Mustelidae; Mustelinae;","North America, United States, South Dakota, Todd County",NA,NA,NA,"A",NA,"expert","United States Fish and Wildlife Service","http://arctos.database.museum/guid/DMNS:Mamm:12305?seid=839414",1,NA,"DMNS","urn:lsid:biocol.org:col:35013","US",1145096740,"Animalia",1,"en","2016-07-28T04:44:42.079+0000","2016-08-04T00:09:33.966+0000","2016-06-24T04:06:44.685+0000",43.2955,NA,NA,NA,NA,NA,NA,"Junction of BIA 7 and US 18","United States Fish and Wildlife Service",NA,-100.9827,NA,3,NA,"ICZN","http://arctos.database.museum/guid/DMNS:Mamm:12305?seid=839414","Other notes on original tags say: Larson 3/9/09, Ferret B-660, and Ferret #1. The skull is crushed and tail is missing.",NA,"Carnivora",732,"http://arctos.database.museum/guid/DMNS:Mamm:12305","DZTM: Denver Zoology Tissue Mammal=1525",NA,"Chordata",44,"skeleton; ectoparasite(s) (ethanol); baculum; body mount","<i>Mustela nigripes</i> (accepted ID) identified by United States Fish and Wildlife Service on 2009-03-05; method: expert","DWC_ARCHIVE","US","a2ef6dd1-8886-48c9-8025-c62bac973cc7","Collector(s): United States Fish and Wildlife Service; Preparator(s): Jim I. Gilman, Jonas Brothers Taxidermy",NA,"http://arctos.database.museum/guid/DMNS:Mamm:12305","http://creativecommons.org/licenses/by-nc/3.0",NA,"salvaged road kill","Mustela nigripes (Audubon & Bachman, 1851)",NA,"MALE","Mustela nigripes",5218985,"nigripes",NA,NA,5218985,"SPECIES",NA,"PhysicalObject","decimal degrees",NA,"05 March 2009","Junction of BIA 7 and US 18",NA,2009,"2016-08-10",14020,"Mustela nigripes",5,1,1,"NatureServe",2008,"NatureServe",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MUSTELIDAE","EN",71.9459495399,264.061618931,TRUE
"23",23,"http://vertnet.org/resources/norms.html","Wyoming","Albany",NA,"PRESERVED_SPECIMEN",NA,"UAZ 26806","Mammalia",359,"Nat. Black-footed Ferret Conservation Center, Wyoming, Albany, United States, NORTH_AMERICA","Mammals",NA,"NORTH_AMERICA",NA,"United States",NA,"96275bf2-8999-4869-95d5-4903a84391b0",NA,NA,2,NA,NA,NA,"{""earLengthInMM"":""28"", ""hindfootLengthInMM"":""54"", ""tail"":""121"", ""totalLength"":""480"", ""weight"":""840"" }",NA,NA,NA,NA,NA,NA,275,"NATIVE","2002-10-02T00:00:00.000+0000",NA,NA,"Mustelidae",5307,NA,NA,"United States",1262417651,"Mustela","Mustela",2433922,"WGS84",NA,NA,NA,NA,"requires verification",NA,"|  |  | Carnivora | Caniformia |  |  | Mustelidae | Mustelinae |  | Mustela","| United States of America  | Wyoming | Albany |  |  |  |",NA,NA,NA,NA,NA,NA,NA,"urn:catalog:UAZ:Mammals:UAZ 26806",NA,NA,"UAZ","http://biocol.org/urn:lsid:biocol.org:col:34852","US",1262417651,"Animalia",1,"en","2016-03-29T18:16:50.662+0000","2016-08-04T10:11:18.969+0000","2016-03-29T18:16:50.694+0000",41.76461,NA,NA,NA,NA,NA,NA,"Nat. Black-footed Ferret Conservation Center",NA,NA,-105.37561,"2016-03-23T00:00:00.000+0000",10,NA,"ICZN","urn:catalog:UAZ:Mammals:UAZ 26806",NA,"present","Carnivora",732,NA,NA,NA,"Chordata",44,"skeleton | skin | skull",NA,"DWC_ARCHIVE","US","84d451a0-644d-11de-b910-b8a03c50a862","Y. Petryszyn",NA,"http://portal.vertnet.org/o/uaz/mammals?id=uaz-26806","https://creativecommons.org/publicdomain/zero/1.0/",NA,NA,"Mustela nigripes (Audubon & Bachman, 1851)",NA,"FEMALE","Mustela nigripes",5218985,"nigripes",275,NA,5218985,"SPECIES",NA,"PhysicalObject",NA,NA,"2 October 2002","United States of America  | Wyoming | Albany | Nat. Black-footed Ferret Conservation Center","Black-footed Ferret",2002,"2016-08-10",14020,"Mustela nigripes",5,1,1,"NatureServe",2008,"NatureServe",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MUSTELIDAE","EN",71.9459495399,264.061618931,TRUE
"83",83,"http://vertnet.org/resources/norms.html","Colorado","Park County",NA,"PRESERVED_SPECIMEN",NA,"7498","Mammalia",359,"Carnegie Camp vicinity, 1.33 miles southwest of Porcupine Cave, Colorado, Park County, United States, NORTH_AMERICA","Mammal specimens",NA,"NORTH_AMERICA",1000,"United States",NA,"5f3463d2-51b6-4a8a-b252-9bab4388934e",NA,"1989-09-15T00:00:00.000+0000",15,NA,NA,NA,"sex=female",NA,NA,NA,NA,2755.39,0,258,NA,"1989-09-15T00:00:00.000+0000",NA,NA,"Mustelidae",5307,NA,NA,"United States",1145106491,"Mustela","Mustela",2433922,"WGS84","unknown","2012-07-08 00:00:00.0","GeoLocate","GeoLocate","unverified",NA,"Animalia; Chordata; Mammalia; Carnivora; Mustelidae; Mustelinae;","North America, United States, Colorado, Park County",NA,NA,NA,"A",NA,"field","E. Anderson","http://arctos.database.museum/guid/DMNS:Mamm:7498?seid=952895",1,NA,"DMNS","urn:lsid:biocol.org:col:35013","US",1145106491,"Animalia",1,"en","2016-07-28T04:44:46.310+0000","2016-08-04T00:09:33.816+0000","2016-06-24T04:06:55.143+0000",38.71522,NA,NA,NA,NA,NA,NA,"Carnegie Camp vicinity, 1.33 miles southwest of Porcupine Cave","unknown",NA,-105.8739,NA,9,NA,"ICZN","http://arctos.database.museum/guid/DMNS:Mamm:7498?seid=952895",NA,NA,"Carnivora",732,"http://arctos.database.museum/guid/DMNS:Mamm:7498",NA,NA,"Chordata",44,"skull; partial skeleton","<i>Mustela nigripes</i> (accepted ID) identified by E. Anderson on 1989-09-15; method: field","DWC_ARCHIVE","US","a2ef6dd1-8886-48c9-8025-c62bac973cc7","Collector(s): Elaine Anderson",NA,"http://arctos.database.museum/guid/DMNS:Mamm:7498","http://creativecommons.org/licenses/by-nc/3.0",NA,NA,"Mustela nigripes (Audubon & Bachman, 1851)",NA,"FEMALE","Mustela nigripes",5218985,"nigripes",NA,NA,5218985,"SPECIES",NA,"PhysicalObject",NA,NA,"15 September 1989","North America, United States, Colorado, Park County, Carnegie Camp vicinity, one and one-third (1.33) miles southwest of Porcupine Cave",NA,1989,"2016-08-10",14020,"Mustela nigripes",5,1,1,"NatureServe",2008,"NatureServe",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MUSTELIDAE","EN",71.9459495399,264.061618931,TRUE
"97",97,"http://www.vertnet.org/resources/norms.html","Wyoming","Park County",NA,"PRESERVED_SPECIMEN",NA,"127011","Mammalia",359,"Prairie Dog Colony near Pump Station, Wyoming, Park County, United States, NORTH_AMERICA","Mammal specimens",NA,"NORTH_AMERICA",100,"United States",NA,"b15d4952-7d20-46f1-8a3e-556a512b04c5",NA,"1986-08-29T00:00:00.000+0000",29,NA,NA,NA,"sex=female ; total length=495 mm; tail length=102 mm; hind foot with claw=55 mm; ear from notch=28 mm",NA,NA,NA,NA,NA,NA,241,NA,"1986-08-29T00:00:00.000+0000",NA,NA,"Mustelidae",5307,NA,NA,"United States",1145155717,"Mustela","Mustela",2433922,"WGS84","Dean E. Biggins","1986-08-29 00:00:00.0","not recorded","unknown","unverified",NA,"Animalia; Chordata; Mammalia; Carnivora; Mustelidae; Mustelinae;","North America, United States, Wyoming, Park County",NA,NA,NA,"A",NA,"student","Cindy A. Ramotnik","http://arctos.database.museum/guid/MSB:Mamm:127011?seid=2585735",1,NA,"MSB","urn:lsid:biocol.org:col:34495","US",1145155717,"Animalia",1,"en","2016-07-28T04:55:27.080+0000","2016-08-04T12:18:52.876+0000","2016-06-24T04:32:50.744+0000",44.15317,NA,NA,NA,NA,NA,NA,"Prairie Dog Colony near Pump Station","Dean E. Biggins","original data states Zone 13 but assuming Zone 12",-109.12175,NA,8,NA,"ICZN","http://arctos.database.museum/guid/MSB:Mamm:127011?seid=2585735","Wild caught on 29 Aug 1986. Died 21 Feb 1994. ""Rene""",NA,"Carnivora",732,"http://arctos.database.museum/guid/MSB:Mamm:127011","NK=39933; USGS: U.S. Geological Survey=127011; original identifier=WSVL 94W1299; preparator number=CAR 5135",NA,"Chordata",44,"skin; skull; postcranial skeleton; muscle; muscle sample","<i>Mustela nigripes</i> (accepted ID) identified by Cindy A. Ramotnik on 1986-08-29; method: student","DWC_ARCHIVE","US","939ed180-aa7b-11db-8edf-b8a03c50a862","Collector(s): Dean E. Biggins, David Seery; Preparator(s): Cindy A. Ramotnik",NA,"http://arctos.database.museum/guid/MSB:Mamm:127011","http://arctosdb.org/home/data/",NA,NA,"Mustela nigripes (Audubon & Bachman, 1851)",NA,"FEMALE","Mustela nigripes",5218985,"nigripes",NA,NA,5218985,"SPECIES",NA,"PhysicalObject","decimal degrees",NA,"29 Aug 1986","Wyoming: Park Co., Pump Station Prairie Dog Colony",NA,1986,"2016-08-10",14020,"Mustela nigripes",5,1,1,"NatureServe",2008,"NatureServe",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MUSTELIDAE","EN",71.9459495399,264.061618931,TRUE
"98",98,"http://www.vertnet.org/resources/norms.html","Wyoming","Park County",NA,"PRESERVED_SPECIMEN",NA,"127012","Mammalia",359,"Prairie Dog Colony near Spring Creek, Wyoming, Park County, United States, NORTH_AMERICA","Mammal specimens",NA,"NORTH_AMERICA",402.34,"United States",NA,"b15d4952-7d20-46f1-8a3e-556a512b04c5",NA,"1986-09-03T00:00:00.000+0000",3,NA,NA,NA,"sex=male ; total length=400 mm; hind foot with claw=61 mm; ear from notch=26 mm",NA,NA,NA,NA,NA,NA,246,NA,"1986-09-03T00:00:00.000+0000",NA,NA,"Mustelidae",5307,NA,NA,"United States",1145155689,"Mustela","Mustela",2433922,"WGS84","David Seery","1986-09-03 00:00:00.0","not recorded","Google Earth","unverified",NA,"Animalia; Chordata; Mammalia; Carnivora; Mustelidae; Mustelinae;","North America, United States, Wyoming, Park County",NA,NA,NA,"A",NA,"field","David Seery","http://arctos.database.museum/guid/MSB:Mamm:127012?seid=2613261",1,NA,"MSB","urn:lsid:biocol.org:col:34495","US",1145155689,"Animalia",1,"en","2016-07-28T04:55:27.080+0000","2016-08-04T12:18:52.601+0000","2016-06-24T04:32:50.769+0000",44.16368,NA,NA,NA,NA,NA,NA,"Prairie Dog Colony near Spring Creek","David Seery","Zone 13 660000 4892000N, UTM is in South Dakota, so assumed zone 12 instead of 13",-108.99885,NA,9,NA,"ICZN","http://arctos.database.museum/guid/MSB:Mamm:127012?seid=2613261","""Dean"", died 2 Dec 1991",NA,"Carnivora",732,"http://arctos.database.museum/guid/MSB:Mamm:127012","NK=39822; USGS: U.S. Geological Survey=127012; original identifier=WSVL # 91W8715; preparator number=CAP 182",NA,"Chordata",44,"skin; skull; postcranial skeleton; heart, kidney (frozen); liver (frozen); liver (frozen) sample","<i>Mustela nigripes</i> (accepted ID) identified by David Seery on 1986-09-03; method: field<br><i>Mustela nigripes</i> identified by Samantha M. Wisely, Steven W. Buskirk, David B. McDonald on 2003 <i>sensu</i> <a href=""http://arctos.database.museum/publication/10004417"">Wisely et al. 2003</a>; method: molecular data","DWC_ARCHIVE","US","939ed180-aa7b-11db-8edf-b8a03c50a862","Collector(s): David Seery; Preparator(s): Carrie A. Pippin",NA,"http://arctos.database.museum/guid/MSB:Mamm:127012","http://arctosdb.org/home/data/",NA,NA,"Mustela nigripes (Audubon & Bachman, 1851)",NA,"MALE","Mustela nigripes",5218985,"nigripes",NA,NA,5218985,"SPECIES",NA,"PhysicalObject",NA,NA,"3 Sep 1986","Wyoming: Park Co., Spring Creek Basin Prairie Dog Colony",NA,1986,"2016-08-10",14020,"Mustela nigripes",5,1,1,"NatureServe",2008,"NatureServe",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MUSTELIDAE","EN",71.9459495399,264.061618931,TRUE
"106",106,"http://www.vertnet.org/resources/norms.html","Wyoming","Park County",NA,"PRESERVED_SPECIMEN",NA,"127010","Mammalia",359,"91 Ranch Meeteetse, West Rawhide Prairie Dog Colony, Wyoming, Park County, United States, NORTH_AMERICA","Mammal specimens",NA,"NORTH_AMERICA",100,"United States",NA,"b15d4952-7d20-46f1-8a3e-556a512b04c5",NA,"1985-11-01T00:00:00.000+0000",1,NA,NA,NA,"sex=male ; total length=555 mm; tail length=107 mm; hind foot with claw=60 mm; ear from notch=30 mm; reproductive data=T=11x15",NA,NA,NA,NA,NA,NA,305,NA,"1985-11-01T00:00:00.000+0000",NA,NA,"Mustelidae",5307,NA,NA,"United States",1145155656,"Mustela","Mustela",2433922,"WGS84","Dean E. Biggins","1985-11-01 00:00:00.0","not recorded","unknown","unverified",NA,"Animalia; Chordata; Mammalia; Carnivora; Mustelidae; Mustelinae;","North America, United States, Wyoming, Park County",NA,NA,NA,"A",NA,"student","Cindy A. Ramotnik","http://arctos.database.museum/guid/MSB:Mamm:127010?seid=2585734",1,NA,"MSB","urn:lsid:biocol.org:col:34495","US",1145155656,"Animalia",1,"en","2016-07-28T04:55:27.076+0000","2016-08-04T12:18:52.713+0000","2016-06-24T04:32:50.751+0000",44.18675,NA,NA,NA,NA,NA,NA,"91 Ranch Meeteetse, West Rawhide Prairie Dog Colony","Dean E. Biggins",NA,-104.38315,NA,11,NA,"ICZN","http://arctos.database.museum/guid/MSB:Mamm:127010?seid=2585734","Wild caught on 1 Nov 1985. Died 6 Jan 1994. ""Dexter""",NA,"Carnivora",732,"http://arctos.database.museum/guid/MSB:Mamm:127010","NK=39932; USGS: U.S. Geological Survey=127010; original identifier=WSVL 94W122; preparator number=CAR 5134",NA,"Chordata",44,"skin; skull; postcranial skeleton; muscle","<i>Mustela nigripes</i> (accepted ID) identified by Cindy A. Ramotnik on 1985-11-01; method: student","DWC_ARCHIVE","US","939ed180-aa7b-11db-8edf-b8a03c50a862","Collector(s): Dean E. Biggins; Preparator(s): Cindy A. Ramotnik",NA,"http://arctos.database.museum/guid/MSB:Mamm:127010","http://arctosdb.org/home/data/",NA,NA,"Mustela nigripes (Audubon & Bachman, 1851)",NA,"MALE","Mustela nigripes",5218985,"nigripes",NA,NA,5218985,"SPECIES",NA,"PhysicalObject","decimal degrees",NA,"1 Nov 1985","Wyoming: Park Co., 91 Ranch Meeteetse, West Rawhide Prairie Dog Colony",NA,1985,"2016-08-10",14020,"Mustela nigripes",5,1,1,"NatureServe",2008,"NatureServe",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MUSTELIDAE","EN",71.9459495399,264.061618931,TRUE
